127.0.0.1 - - [06/Mar/2023:15:41:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:41:18 +0900] "GET /jsp04/join.jsp HTTP/1.1" 200 6377
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:41:18 +0900] "GET /js/jquery-3.6.3.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:41:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:41:20 +0900] "POST /jsp04/joinProcess.jsp HTTP/1.1" 500 2614
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:41:39 +0900] "GET /jsp04/join.jsp HTTP/1.1" 200 6377
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:41:39 +0900] "GET /js/jquery-3.6.3.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:43:05 +0900] "GET /jsp04/join.jsp HTTP/1.1" 500 2568
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:43:11 +0900] "GET /jsp04/join.jsp HTTP/1.1" 500 2568
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:44:15 +0900] "GET /jsp04/join.jsp HTTP/1.1" 200 6378
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:44:15 +0900] "GET /jsp04/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:45:03 +0900] "POST /jsp04/joinProcess.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:45:43 +0900] "GET /jsp04/login.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:45:43 +0900] "GET /js/jquery-3.6.3.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:45:51 +0900] "POST /jsp04/LoginProcess.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:45:56 +0900] "POST /jsp04/LoginProcess.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:46:14 +0900] "POST /jsp04/LoginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:46:14 +0900] "GET /jsp04/index.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:46:14 +0900] "GET /jsp04/js/jquery-3.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:46:21 +0900] "GET /jsp04/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:46:21 +0900] "GET /jsp04/index.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:46:24 +0900] "GET /jsp04/login.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:46:24 +0900] "GET /js/jquery-3.6.3.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:46:32 +0900] "POST /jsp04/LoginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:46:32 +0900] "GET /jsp04/index.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:47:18 +0900] "GET /jsp04/info.jsp HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:47:18 +0900] "GET /jsp04/js/jquery-3.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:47:49 +0900] "GET /jsp04/index.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:47:51 +0900] "GET /jsp04/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:47:51 +0900] "GET /jsp04/index.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:47:52 +0900] "GET /jsp04/join.jsp HTTP/1.1" 200 6378
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:48:19 +0900] "POST /jsp04/joinProcess.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:48:28 +0900] "GET /jsp04/login.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:48:28 +0900] "GET /js/jquery-3.6.3.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:23:23 +0900] "GET /jsp04/delete.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:23:24 +0900] "GET /jsp04/js/jquery-3.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:23:30 +0900] "POST /jsp04/joinProcess.jsp HTTP/1.1" 500 2514
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:46:28 +0900] "GET /jsp04/delete.jsp HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:46:28 +0900] "GET /jsp04/js/jquery-3.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:46:40 +0900] "GET /jsp04/join.jsp HTTP/1.1" 200 6378
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:46:58 +0900] "POST /jsp04/joinProcess.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:47:03 +0900] "GET /jsp04/login.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:47:03 +0900] "GET /js/jquery-3.6.3.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:47:07 +0900] "POST /jsp04/LoginProcess.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:47:11 +0900] "POST /jsp04/LoginProcess.jsp HTTP/1.1" 200 86
